,Star_name,Distance,Mass,Radius
53,2MASS J04351612-1606574,34,100,1.26
54,2MASS J04362788-4114465,142,39,1.97
55,2MASS J04390101-2353083 [de],29.5,48,0.97
56,2MASS J04414489+2301513,470,19,
57,2MASS J04433764+0002040,82,22,1.78
58,2MASS J04455387-3048204 [de],42,64,1.00
59,2MASS J04510093-3402150 [de],69,72,1.04
60,2MASS J05002100+0330501 [de],44,64,1.00
61,2MASS J05012406-0010452 [de],64,21,1.38
62,2MASS J05160945-0445499 [de],73,47,0.97
63,2MASS J0523−1403,40,68,1.01
64,2MASS 0532+8246,81,83,
65,SDSS J053951.99-005902.0,41.62,61,1.01
66,2MASS J05591914-1404488 [de],34,,
67,LSR 0602+3910 [de],34.6,28,1.41
68,2MASS J06085283-2753583,102,38,1.51
69,WISEP J061135.13-041024.0A,69,65,
70,WISEP J061135.13-041024.0B,69,53,
71,2MASS J06244595-4521548 [de],39,56,0.99
72,2MASS J06411840-4322329 [de],65,67,1.01
73,DENIS-P J0652197-253450 [de],51,75,1.05
74,2MASS J07003664+3157266 [de],40,,
75,2MASS J07075327-4900503,60,72,1.03
76,UGPS J072227.51-054031.2,13.4,26,0.98
77,2MASSI J0727182+171001 [de],29.6,41,0.94
78,2MASS J07290002-3954043 [de],25.8,37,0.94
79,SDSS J074201.41+205520.5 [de],49,43,0.94
80,2MASS J0746425+200032 [fr],49.6,,
81,DENIS-P J0751164-253043 [de],55,71,1.03
82,2MASS J07522390+1612157,60,68,2.01
83,DENIS J081730.0-615520,16.1,44,0.94
84,DENIS J082303.1−491201A,67,44,
85,DENIS J082303.1−491201B,67,28,
86,2MASS J08251968+2115521 [de],35,52,0.98
87,SDSSp J083008.12+482847.4 [de],43,48,0.99
88,LHS 2021,55,88,1.15
89,SDSS J083048.80+012831.1 [de],77,46,0.96
90,2MASSI J0835425-081923 [de],23.53,62,1.00
91,2MASSI J0847287-153237 [de],43,64,1.00
92,2MASS J08533619-0329321,27.6,77,1.07
93,2MASSI J0859254-194926 [de],50,50,0.98
94,2MASSW J0920122+351742 [de],95,,
95,2MASSI J0937347+293142,20.0,42,0.94
96,2MASS 0939−2448,17.4,32,0.95
97,2MASS J09490860-1545485 [de],59,49,0.96
98,2MASS J10073369-4555147,46,44,0.94
99,2MASSI J1010148-040649 [de],55,51,0.98
100,2MASSI J1017075+130839 [de],108,,
101,SDSS J102109.69-030420.1,95,,
102,2MASS J10224821+5825453 [de],60,27,1.41
103,2MASSW J1036530-344138 [de],53,49,0.97
104,2MASS J1047538+212423 [de],34.4,42,0.94
105,DEN 1048-3956,13.15,77,1.07
106,Luhman 16B,6.516,43,1.02
107,Luhman 16A,6.516,40,1.01
108,DENIS-P J1058.7−1548,49,64,1.00
109,TWA 28,180,36,2.39
110,Cha 110913-773444,163,8,1.8
111,OTS 44,554,15,
112,SDSS J111010.01+011613.1,63,9,1.24
113,2MASS J11145133−2618235,18.2,33,0.96
114,TWA 26,137,30,2.20
115,2MASSW J1146345+223053,89,,
116,2MASS J11544223-3400390 [de],129,37,1.50
117,2MASSW J1155395-372735 [de],31,64,1.00
118,TWA 27A,,,
119,TWA 27B,,,
120,2MASS J12074836-3900043,217,17,1.71
121,2MASSI J1217110-031113 [de],36,42,0.94
122,2MASS J12255432-2739466,43,,
123,DENIS-P J1228.2-1547,66,,
124,2M 1237+6526,45.6,41,0.94
125,2MASSW J1239272+551537 [de],119,,
126,TWA 29,262,25,2.00
127,SDSSp J125453.90-012247.4 [de],38,47,0.98
128,Kelu-1A,61,63,0.98
129,Kelu-1B,61,58,0.98
130,2MASS J13204427+0409045,101,67,1.01
131,SDSSp J132629.82-003831.5 [de],65,51,0.97
132,SDSSp J134646.45-003150.4 [de],48,44,0.94
133,2MASS J13595510-4034582,51,63,1.00
134,ULAS J141623.94+134836.3,29.7,32,0.96
135,SDSS J141659.78+500626.4 [de],149,59,0.99
136,DENIS-P J142527.97-365023.4 [de],38,21,1.32
137,LHS 2924,38.5,76,1.06
138,2MASS J14392837+1929150,47,72,1.03
139,LSPM J1440+1339,72,92,1.19
140,2MASS J14482563+1031590 [de],47,59,0.99
141,CFBDSIR 1458+10A,104,11.1,1.5
142,CFBDSIR 1458+10B,104,9,1.3
143,TVLM 513-46546,35.1,75,1.05
144,2MASS 1503+2525,20.7,44,0.94
145,CFBDS J150411+102717,71,44,0.94
146,2MASSW J1506544+132106 [de],46,69,1.02
147,2MASS 1507−1627,23.9,60,0.99
148,TVLM 868-110639,53,79,1.08
149,SDSS J151114.66+060742.9 [de],89,,
150,2MASSW J1515008+484742 [de],34,57,0.99
151,2MASSI J1526140+204341 [de],67,54,0.98
152,DENIS-P J153941.96-052042.4 [de],51,63,1.00
153,2MASS J15462718-3325111 [de],37,44,0.94
154,2MASSW J1552591+294849 [de],68,30,1.43
155,2MASSW J1555157-095605 [de],44,71,1.03
156,2MASS J16150413+1340079 [de],48,42,0.94
157,SDSSp J162414.37+002915.6 [de],36,43,0.94
158,2MASS J16262034+3925190 [de],110,71,1.03
159,2MASSW J1632291+190441 [de],50,49,0.97
160,WISEPA J164715.59+563208.2,28,41,0.94
161,LSPM J1658+7027 [de],60,73,1.04
162,2MASSI J1726000+153819,114,24,1.40
163,2MASSW J1728114+394859,79,,
164,SDSSp J175032.96+175903.9,90,47,0.97
165,2MASS J18283572-4849046,39,45,0.95
166,LSR J1835+3259,18.5,77,1.07
167,2MASSW J1841086+311727,138,67,1.01
168,2MASS J18432213+4040209,46,96,1.22
169,2MASS J20004841-7523070,105,25,1.88
170,SDSS J204749.61-071818.3,65,46,0.96
171,2MASSI J2057540-025230,47,70,1.02
172,2MASSW J2101154+175658,108,,
173,2MASSI J2104149-103736,62,69,1.02
174,PSO J318.5−22,80,6.5,1.53
175,HB 2124-4228,113,94,1.21
176,2MASS J21392676+0220226,32.1,46,0.96
177,2MASS J21481628+4003593,26.3,55,0.99
178,2MASS J14112131-2119503,,,
179,2MASSW J2206450-421721,93,22,1.33
180,2MASSW J2208136+292121,154,27,1.41
181,2MASSW J2224438-015852,38,61,0.99
182,2MASS J22282889-4310262,35,42,0.94
183,2MASS J22373255+3922398,64,73,1.04
184,2MASSW J2244316+204343,56,12,1.29
185,2MASS J23224684-3133231,56,24,1.39
186,2MASS J23225299-6151275,148,17,1.59
187,2MASS J23515044-2537367,67,88,1.16
188,2MASSI J2356547-155310,74,80,1.09
189,WISE 0005+3737,23.2,,
190,WISE 0008-1739,87.1,,
191,WISE 0015-4615,48.6,,
192,WISE 0031-3840,71.8,,
193,WISE 0032-4946,62.9,,
194,WISE 0038+2758,36.9,,
195,WISE 0038+8405,101.8,,
196,WISE 0040+0900,47.6,,
197,WISE 0049+0441,62.6,,
198,WISE 0049+2151,24.1,,
199,WISE 0106+1518,142.9,,
200,WISE 0123+4142,67.2,,
201,WISE 0135+1715,77.3,,
202,WISE 0138-0322,57.7,,
203,WISE 0146+4234,20.5,,
204,WISE 0148-7202,30,,
205,WISE 0150+3827,61.3,,
206,WISE 0206+2640,58.4,,
207,WISE 0221+3842,73.1,,
208,WISE 0223-2932,47,,
209,WISE 0226-0211,91,,
210,WISE 0241-3653,53.8,,
211,WISE 0245-3450,56.1,,
212,WISE 0247+3725,57.1,,
213,WISE 0305+3954,75,,
214,WISE 0307+2904,82.8,,
215,WISE 0313+7807,28,,
216,WISE 0316+4307,106.3,,
217,WISE 0321-7347,84.8,,
218,WISE 0323-6025,45.3,,
219,WISE 0325-3854,51.2,,
220,WISE 0325+0831,36.5,,
221,WISE 0333-5856,54.8,,
222,WISE 0335+4310,45.7,,
223,WISE 0336-0143,55.4,,
224,WISE 0350-5658,17.7,,
225,WISE 0359-5401,19.2,,
226,WISE 0410+1502,20,6,1.17
227,WISE 0410+1411,85.8,,
228,WISE 0413-4750,66.2,,
229,WISE 0448-1935,69.8,,
230,WISE 0458+6434A,35.9,15,4.2
231,WISE 0458+6434B,35.9,10,3.8
232,WISE 0500-1223,47,,
233,WISE 0513+0608,44.7,,
234,WISE 0525+6739,98.2,,
235,WISE 0528-3308,57.4,,
236,WISE 0535-7500,47,,
237,WISE 0539-1034,84.8,,
238,WISE 0542-1628,50.6,,
239,WISE 0607+2429,25.4,,
240,WISE 0611-0410,57.7,,
241,WISE 0612-4920,95.2,,
242,WISE 0612-3036,64.9,,
243,WISE 0614+3912,50.2,,
244,WISE 0614+0951,51.5,,
245,WISE 0623-0456,37.5,,
246,WISE 0625+5646,67.2,,
247,WISE 0627-1114,37.2,,
248,WISE 0647-6232,28,,
249,WISE 0656+4205,54.1,,
250,WISE 0713-2917,23.2,,
251,WISE 0723+3403,45.7,,
252,WISE 0733+7544,78.3,,
253,WISE 0734-7157,34.9,,
254,WISE 0744+5628,47.3,,
255,WISE 0750+2725,51.5,,
256,WISE 0751-7634,39.1,,
257,WISE 0759-4904,38.8,,
258,WISE 0811-8051,32,,
259,WISE 0812+4021,63.6,,
260,WISE 0819-0335,46,,
261,WISE 0821+1443,68.2,,
262,WISE 0836-1859,72.4,,
263,WISE 0857+5604,42.1,,
264,WISE 0906+4735,51.5,,
265,WISE 0929+0409,64.9,,
266,WISE 0952+1955,72.1,,
267,WISE 1018-2445,47.6,,
268,WISE 1019+6529,56.8,,
269,WISE 1039-1600,47.3,,
270,WISE 1042-3842,53.2,,
271,WISE 1051-2138,40.8,,
272,WISE 1122+2550,57.7,,
273,WISE 1124-0421,50.6,,
274,WISE 1147-2040,102,,
275,WISE 1150+6302,32.9,,
276,WISE 1217+1626A,34.2,12,
277,WISE 1217+1626B,34.2,6,
278,WISE 1225-1013,55.4,,
279,WISE 1311+0122,44.4,,
280,WISE 1311+3629,86.1,,
281,WISE 1318-1758,32.9,,
282,WISE 1320+6034,56.1,,
283,WISE 1322-2340,33.9,,
284,WISE 1348+6603,91,,
285,WISE 1405+5534,25.3,30,0.86
286,WISE 1433-0837,84.8,,
287,WISE 1436-1814,60,,
288,WISE 1457+5815,52.2,,
289,WISE 1506+7027,11.1,,
290,WISE 1517+0529,72.4,,
291,WISE 1519+7009,50.9,,
292,WISE 1523+3125,84.5,,
293,WISE 1541-2250,20,,
294,WISE 1542+2230,41.1,,
295,WISE 1612-3420,55.4,,
296,WISE 1614+1739,32.6,,
297,WISE 1617+1807,50.2,,
298,WISE 1622-0959,52.2,,
299,WISE 1627+3255,50.2,,
300,WISE 1639-6847,16.3,,
301,WISE 1647+5632,28,,
302,WISE 1653+4444,39.5,,
303,WISE 1711+3500,60.3,,
304,WISE 1717+6129,72.7,,
305,WISE 1721+1117,62.3,,
306,WISE 1728+5716,97.8,,
307,WISE 1738+2732,20,,
308,WISE 1741+2553,18.9,,
309,WISE 1746-0338,83.8,,
310,WISE 1800+0134,28.7,57,
311,WISE 1804+3117,30,,
312,WISE 1809+3838,74.4,,
313,WISE 1812+2721,47,,
314,WISE 1828+2650,36,,
315,WISE 1830+4542,107,,
316,WISE 1841+7000,131.1,,
317,WISE 1852+3537,55.4,,
318,WISE 1906+4508,51.5,,
319,WISE 1928+2356,22.8,,
320,WISE 1952+7240,44.4,,
321,WISE 1959-3338,37.2,,
322,WISE 2030+0749,34.2,,
323,WISE 2014+0424,96.2,,
324,WISE 2015+6646,50.6,,
325,WISE 2018-7423,47.9,,
326,WISE 2019-1148,42.4,,
327,WISE 2056+1459,24.5,,
328,WISE 2134-7137,42.7,,
329,WISE 2157+2659,61.6,,
330,WISE 2209-2734,46,,
331,WISE 2213+0911,58.7,,
332,WISE 2220-3628,26.4,,
333,WISE 2226+0440,45,,
334,WISE 2237-0614,53.5,,
335,WISE 2237+7228,46,,
336,WISE 2239+1617,59.7,,
337,WISE 2255-3118,44.7,,
338,WISE 2301+0216,60.7,,
339,WISE 2313-8037,35.9,,
340,WISE 2319-1844,52.2,,
341,WISE 2325-4105,37.5,,
342,WISE 2327-2730,70.8,,
343,WISE 2335+4222,90.3,,
344,WISE 2340-0745,37.8,,
345,WISE 2342+0856,51.2,,
346,WISE 2343-7418,48.6,,
347,WISE 2344+1034,46,,
348,WISE 2348-1028,54.1,,
349,WISE 2357+1227,54.8,,
350,WISE 2359-7335,42.7,,
351,WISEA 1101+5400,111,,
352,2M1510,120,40 + 39 + ?,
